Basin,Field_age,Field_depth,deg_API,WOR_BBL_B
140,22.65831213857143,11486.821666666667,,20.838691350881636
160,28.312590555108837,3767.767934313321,,89.93449978565793
200,27.613966195466467,4458.65079470283,32.303181272509,103197.87557000696
210,23.02435347896703,11065.97101949536,41.1614585074757,18.4582628828827
220,25.101481606184134,8865.723771830531,39.91984568618722,17.935573386487917
230,31.55885473996546,5795.835090768221,44.12903988256324,63.08250401358763
250,15.223584331249999,2622.8255,,208.43835616438355
260,26.950389713555055,7716.938321559296,40.747813863493946,76.08013945940631
300,22.988188432817942,1253.9470197403994,,2.7757472010796023
315,28.10812038905614,1639.6799701320456,,
335,16.642321595505617,2587.6875308641975,,171.65930793850677
345,21.543768272045625,4822.569665467739,41.13555135917086,89.21060737122589
350,37.95158329272648,4850.318003323059,34.896036970404325,13.58464822674462
355,35.71478651031234,3623.3395584696846,37.745178563215205,
360,27.63351886460908,7452.0659446861655,45.74265958110763,5.149852253277165
380,8.167208071896553,4153.609195402299,,0.570880634308065
390,28.108733918828428,4579.6541993228275,,39.164843007521036
395,21.99874053971535,7631.8870485300295,38.670685059928736,12.68672676200723
400,26.1992192790527,5071.56231562069,39.21674381436435,22826.97139820992
405,25.73663007814815,5386.304444444445,32.725,11.368518486869496
410,19.97728590769231,1293.5692307692307,27.752542372881358,11.172153650940132
415,21.53110006070293,5513.704997488064,56.84014330565438,2878.552113771703
420,26.689862745094786,5689.7306742331175,47.35102729011019,62.81575455943303
425,32.80407810264357,2715.863304003358,39.02276677695431,26.877490145520355
430,23.72799470971933,6090.5184244435795,37.26375360027589,13.627224200747024
435,31.722896544301914,4274.312970128656,40.84283037469617,16.775971885694343
445,23.375117550919462,2529.6765126666205,,175.12294016254037
450,25.621013147743056,4728.925897295321,48.30249321573949,8.23878746098091
455,20.14780158912326,3151.730058395768,,2102.255758588662
500,44.35753630295523,2164.0446428989153,,25.065214666024094
507,28.577902561891193,11675.781253981606,49.99671490582813,12.299944072286436
510,39.108696990485676,2930.7402737413054,,46.70304198975406
515,30.269216046329046,4051.573041812894,33.65329523390871,57.087387490896155
520,45.14393282486267,5295.86848213044,27.348892426043147,66.10265189113541
530,35.32655277399376,5138.1295095347095,39.44578061984731,44.17385320006003
535,30.08993487883824,7816.4733262114605,45.49407153242462,23.69568127394913
540,25.625443743684933,5884.231904580036,41.18256870746981,60.2457628507074
545,20.182971873134328,3987.0187313432834,33.586129032258064,1.8719220292320313
575,23.33046817704635,6602.7767073584155,50.367108578262986,49.892998734476514
580,28.443403852776203,3911.929816495233,38.15999981183686,281.1398973048642
585,27.48741640219328,6587.102606532556,43.261803113324014,2170.098471198659
590,33.27199826521739,2679.9166666666665,,4.558981955292217
595,14.486629727290511,6837.801980427995,51.008391340313075,219.44972571634557
625,30.85058404722222,5230.65,,30.5098868907071
630,10.16315497,7264.1066666666675,44.95,2.026497491449248
640,43.74901604347826,2645.375,26.7,0.09623478557615743
650,41.50119441,1285.0,,
710,13.687025283333334,1720.0,,
720,36.368823452,5153.87,80.0,60.18630136986302
725,34.60782904583333,2630.8879166666666,22.22,3.371863455527138
730,22.767624059499337,5744.600001044626,43.43216575091575,61.08416970400866
735,39.45734683,805.0,43.85,
740,21.207559429541412,2244.6768570662375,14.183109023517384,18.232607249556114
745,33.26990939140345,2692.3492382175614,18.525782685776612,47.43192025019571
750,35.49117623477298,3454.049250535332,17.6515625,32.35265263757052
755,35.16128706137184,6781.323618421052,25.867517875383044,8.905727940781858
760,37.39186255409446,4751.368878218021,21.903550643042447,24.577338708815347
